vid;T1 Vlastnosti obdélníku a Thaletova věta;143;https://youtu.be/PpWwcBtatTU
vid;P1 Plán řešení;188;https://youtu.be/jTQjw2Y4kU4
vid;P1 Konstrukce;150;https://youtu.be/GTDMF5Ouco0
vid;P2 Plán řešení;234;https://youtu.be/r1C4H18-nMo
vid;P3 Vlastnosti kosočtverce a plán řešení;218;https://youtu.be/ach9GkD4KMQ
vid;P4 Plán řešení;162;https://youtu.be/shIng5lfFb8
vid;P4 Konstrukce;132;https://youtu.be/iFJkxqTHAFU
vid;P5 Plán řešení;126;https://youtu.be/8K1T9N-NZkU
vid;P5 Konstrukce;121;https://youtu.be/c9dot_tb7Gc
vid;P6 Konstrukce obdélníku;167;https://youtu.be/Q-Q8yc7QfYQ
vid;P6 Možné počty řešení;87;https://youtu.be/DBr3VOHWG_E
