vid;M1 Mozaika ze čtverečků/políček - Interpretace zadání pro malé případy;125;https://youtu.be/UzAZ04KZb4M
vid;M1 Mozaika ze čtverečků/políček - Zobecnění situace pro velké mozaiky;401;https://youtu.be/OFN2Y0_AMMU
vid;M1 Mozaika ze čtverečků/políček - První otázka;68;https://youtu.be/WK8ZPihMorw
vid;M1 Mozaika ze čtverečků/políček - Druhá otázka;210;https://youtu.be/eykGdEFEcQU
vid;M1 Mozaika ze čtverečků/políček - Třetí otázka;182;https://youtu.be/mutpNdSQjCY
exe;M1 Příklad;300;cs;160;1

vid;M2 Pyramida z trojúhelníků - Interpretace zadání a zobecnění pro velká čísla;309;https://youtu.be/FHdzRgh2CXk
vid;M2 Pyramida z trojúhelníků - První otázka;64;https://youtu.be/Yqdex55gEnk
vid;M2 Pyramida z trojúhelníků - Druhá otázka;67;https://youtu.be/ix8zEvpXSrA
vid;M2 Pyramida z trojúhelníků - Třetí otázka;111;https://youtu.be/xqruIciG82w

vid;P1 Posloupnost čísel - Interpretace zadání;61;https://youtu.be/Fa9YKvW8Eyg
vid;P1 Posloupnost čísel - První otázka;90;https://youtu.be/ULoEGvPQW2g
vid;P1 Posloupnost čísel - Druhá otázka;68;https://youtu.be/Mu-q-5cyOcE
vid;P1 Posloupnost čísel - Třetí otázka;190;https://youtu.be/Dy9IpmLArHE
exe;P1 Příklad;300;cs;162;1

vid;P2 Posloupnost ze znaků - Interpretace zadání;218;https://youtu.be/HYfG2P-uxK8
vid;P2 Posloupnost ze znaků - První otázka;78;https://youtu.be/pjbt8ph4T9E
vid;P2 Posloupnost ze znaků - Druhá otázka;75;https://youtu.be/S8znxiMlAuM
vid;P2 Posloupnost ze znaků - Třetí otázka;117;https://youtu.be/IcmqUgNyR38
vid;P2 Pozorovaní o přístupu k 16 otázce;156;https://youtu.be/1XkRn-MpkaE
vid;M3 Křižovatky a ulice - Interpretace zadání;96;https://youtu.be/9j0vGqbQuoo
vid;M3 Křižovatky a ulice - První otázka;89;https://youtu.be/DonjufZBmgw
vid;M3 Křižovatky a ulice - Druhá otázka;58;https://youtu.be/AqQ_OfH8WgA
vid;M3 Křižovatky a ulice - Třetí otázka;58;https://youtu.be/Hzwob7tM284
vid;M4 Hrací kameny na desce - Interpretace zadání;76;https://youtu.be/MFkyPdcZHBU
vid;M4 Hrací kameny na desce - První otázka;110;https://youtu.be/qGv3ZgswXlU
vid;M4 Hrací kameny na desce - Druhá otázka;118;https://youtu.be/ADnXN1UYjns
vid;M4 Hrací kameny na desce - Třetí otázka;96;https://youtu.be/imupq06SpoY
vid;M5 Deska s žetony - Interpretace zadání;61;https://youtu.be/g8zgTBnqWT4
vid;M5 Deska s žetony - První otázka;57;https://youtu.be/10PG_olv7eg
vid;M5 Deska s žetony - Druhá  otázka;102;https://youtu.be/Qco7SZ_TlmI
vid;M5 Deska s žetony - Třetí otázka;79;https://youtu.be/tfP_mK87yqY
vid;M6 Pyramida z krychliček - Interpretace zadání;94;https://youtu.be/MtxI4GVCwN4
vid;M6 Pyramida z krychliček - První otázka;53;https://youtu.be/goxNMdOU_Uc
vid;M6 Pyramida z krychliček - Druhá otázka;104;https://youtu.be/JHt2BekC4tU
vid;M6 Pyramida z krychliček - Třetí otázka;70;https://youtu.be/MJVCvNp0peU
